x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89669.8263482649,43133.249359249,0,0,0,-0.864177504757562,0.503187082774383,1.5
89669.2971980287,43132.3170469282,0,0,0,-0.861707341361727,0.507405614714011,1.5
89668.7680477926,43131.3847346073,0,0,0,-0.859216525354446,0.51161212119909,1.5
89668.2388975564,43130.4524222865,0,0,0,-0.856705235312314,0.515806300648288,1.5
89667.7853402111,43129.5957028565,0,0,0,-0.863310395664086,0.504673320810917,1.5
89667.3317828659,43128.7389834265,0,0,0,-0.869770889898612,0.493455772167047,1.5
89666.8782255206,43127.8822639965,0,0,0,-0.876085635421935,0.482155534456822,1.5
89666.399470545,43127.1263350877,0,0,0,-0.873523986222944,0.486781106343681,1.5
89665.9207155694,43126.3704061789,0,0,0,-0.870937842427894,0.491393197579133,1.5
89665.4419605938,43125.6144772701,0,0,0,-0.868327420949747,0.495991421323757,1.5
89664.8624150971,43124.6317696887,0,0,0,-0.907522093282509,0.420004345458631,1.5
89664.2828696003,43123.6490621072,0,0,0,-0.940082544938367,0.340946929451204,1.5
89663.7033241036,43122.6663545258,0,0,0,-0.965770750613889,0.25939710341229,1.5
89662.7458141524,43122.1120066594,0,0,0,-0.963505222621556,0.267689532819247,1.5
89661.7883042013,43121.5576587929,0,0,0,-0.961168319153656,0.275962791432715,1.5
89660.8307942501,43121.0033109265,0,0,0,-0.958760558299818,0.28421504507788,1.5
89659.8228890384,43120.3481725389,0,0,0,-0.962892198663788,0.269886297822649,1.5
89658.8149838266,43119.6930341512,0,0,0,-0.96680970773864,0.2554975323214,1.5
89657.8070786149,43119.0378957636,0,0,0,-0.97051221433519,0.241051948397447,1.5
89656.5219994699,43118.3575597457,0,0,0,-0.991526529023091,0.129904358061694,1.5
89655.236920325,43117.6772237277,0,0,0,-0.999853876802799,0.0170945910279734,1.5
89653.95184118,43116.9968877098,0,0,0,0.995387706026302,0.0959339079350833,1.5
89652.8396533313,43117.2132795766,0,0,0,0.993033094674967,0.117835787773737,1.66666666666667
89651.7274654827,43117.4296714433,0,0,0,0.990196627385551,0.139680489383024,1.83333333333333
89650.615277634,43117.6460633101,0,0,0,0.986879680515611,0.161457412915623,2
89649.964419,43118.414062,6.324124,0,0,0.98688,0.161457,11
89646.158855,43119.516344,6.314428,0,0,0.982839,0.184466,11
89641.766327,43120.655738,6.292759,0,0,0.980115,0.198432,11
89637.215075,43122.227878,6.262423,0,0,0.965606,0.260011,11
89633.445522,43124.802757,6.235787,0,0,0.922506,0.385984,11
89630.693327,43127.985092,6.217739,0,0,0.880755,0.473572,11
89628.129488,43131.981611,6.227671,0,0,0.887679,0.460463,11
89625.268059,43136.662412,6.227464,0,0,0.886618,0.462503,11
89622.03044,43141.47552,6.225596,0,0,0.88584,0.46399,11
89618.756394,43146.41575,6.231086,0,0,0.884065,0.467363,11
